ra,dec,pmra,pmdec,parallax,radial_velocity
137.07826992981506,-59.29481660438518,-16.015536119495376,14.768723688119122,7.344129136854653,
136.99262913405437,-59.33032771863664,-32.02823799874106,24.85398742783645,7.385100162379564,
136.99394849065652,-59.33089741397027,-30.75903126741748,23.73699942454793,7.380857211666066,9.389648
137.2281318086732,-59.60326413989122,-15.917569367316451,15.490561160457204,7.340148510636548,
139.08849136724146,-58.97136257947483,-25.47356321081346,32.49720831556459,6.09674652711801,
137.06903549010866,-59.58575343019821,-16.97220386809105,15.122774529679543,7.4143041330824575,12.618738
139.2896036381487,-59.18553293311938,-22.16671026786627,28.208068569841927,6.040891356683682,
138.98983749924977,-59.18525608881178,-16.2219951815602,14.418191389267244,7.398249636117541,
135.5161751298616,-58.14707138483644,-27.81810831293438,22.90836310217401,6.727178921914889,14.707028
135.51676592184575,-58.70860016041002,-14.978815273966287,15.135993886368219,7.3760424249973635,12.339803
136.28609761674517,-58.72456519970537,-15.058055862016358,14.632718835338538,7.275549539019344,14.718052
138.69796924366096,-59.40482761047454,-16.68811179791177,14.988967488819988,7.578345150878958,10.249817
136.35973114341698,-58.92487257115918,-15.830613183922019,15.134065920775015,7.5397447326960965,22.402216
136.7673234377532,-58.97020818185112,-16.250021066183322,15.098001498236897,7.174719478403522,
136.00277228821287,-58.602142770929134,-15.188015120227217,14.45565616681978,7.252152847734342,
138.36691281451525,-59.718317532744045,-16.780381101778122,15.09017845169657,7.465076377403522,
139.74479153175994,-58.62780015491414,-17.568419047259095,19.100010063988684,7.03448680426388,7.5807986
139.79557979101284,-58.635989975094155,-27.89567531189268,30.034030260742625,6.6410660138301845,
140.106990298615,-59.18649414472501,-17.13479459535404,13.809263902515232,7.30918937158465,29.419893
136.20480608390054,-55.98355122806193,-15.986354198265547,13.90435038268134,7.638273790530125,
134.85153689934825,-57.12237810864887,-15.558861909776743,14.609426712429912,7.708420842119553,
134.3623856002988,-56.8553115256571,-19.279088782471266,15.343088971421524,6.184179067664639,
136.06710313137057,-56.23159274884086,-15.120676818355353,26.595758677795395,5.711831971155203,
135.77988616517112,-56.14171028080703,-15.819646000602285,14.035268254069532,7.61278472883251,37.8485
133.4919594105964,-56.813299164289035,-17.715675570357575,30.85510412016943,5.8000844089183925,
135.74878197675162,-56.507724347486985,-18.326299683481086,19.82223247722385,6.427120616276712,30.949743
133.6523592251106,-57.27124018801451,-30.24262553243054,26.13930697995515,7.640355406558088,
132.57869723909525,-56.557441193950226,-15.540874633877099,25.937443418271968,6.856454257218399,
132.6924670919499,-56.420612684311166,-14.701747649436175,25.78780072923888,6.741028139512659,
134.06392845594902,-56.91551627983563,-23.360610446761182,19.82437634164294,5.901650982511166,
